z_minScore,z_maxScore,z_cluster,b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
,,200,CRM,1439057,10187,143,,zack,lessin,813-19-5008,1990-07-15,44800 INDUSTRIAL DR,FREMONT,CALIFORNIA,94538,US,zack@lessin.com,(510) 657-4870
,,42,CRM,1399801,10168,111,,jill,guzzetta,442-85-5714,1979-11-13,44 GALLOWAY RD,WARWICK,NEW YORK,10990,US,jill@guzzetta.com,986-1216
,,182,CRM,1391074,10158,93,,claude,averhart,511-99-9733,1969-02-15,49 S CARROLL ST,FREDERICK,MARYLAND,21701,US,claude@averhart.com,(301) 698-3706
,,237,MKT,1399854,10246,228,,tammi,eilert,747-67-9417,1981-11-17,425 MALUNIU AVE #-B,KAILUA,HAWAII,96734,US,tammi@clerk.com,(808) 263-1923
,,23,CRM,1374265,10137,59,,dale,balliew,517-40-9855,1980-10-14,216 BIRCH AVE,KENNETT SQUARE,PENNSYLVANIA,19348,US,dale@wallet.com,(610) 444-4527
,,178,CRM,1382839,10149,76,,kelly,graniela,434-89-5041,1899-12-31,925 L ST,SACRAMENTO,CALIFORNIA,95814,US,kelly@graniela.com,(916) 442-8885
0.0,0.9957206285616519,107,CRM,1356506,10117,30,,katharine,sankar,100-33-2917,1977-02-09,5122 LEWIS AVE,TOLEDO,OHIO,43812,US,katharine@sankar.com,(419) 476-7118
0.9342799387606493,1.0,6,CRM,1370125,10023,12,,jasmine,ellerbusch,585-96-9870,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
0.9342799387606493,1.0,6,CRM,1334125,10022,12,,jasmine,ellerbusch,585-96-9870,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
1.0,1.0,28,CRM,1389553,10059,90,,fran,sahagun,407-16-8942,1972-07-22,220 S 6TH ST,MINNEAPOLIS,MINNESOTA,55402,US,francine@sahagun.com,(612) 340-7052
,,201,CRM,1439566,10188,144,,reginald,temores,688-83-4192,1976-12-12,402 BNA DR,NASHVILLE,TENNESSEE,37217,US,reggie@temores.com,(615) 360-5493
0.9999922620080517,0.9999922620080517,8,CRM,1350076,10030,18,,federico,popp,631-46-6958,1983-04-30,419 N CASCADE AVE,COLORADO SPRINGS,COLORADO,60603,US,federico@popp.com,(719) 635-5347
,,12,CRM,1352226,10111,21,,lucinda,clingingsmith,486-31-7842,1993-03-18,91195 HANUA ST,KAPOLEI,HAWAII,68707,US,lucy@clingingsmith.com,(808) 682-3122
0.0,0.999999999996107,0,CRM,1316294,10015,11,,ray,amason,933-15-1090,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,rey@amason.com,(419) 738-9241
,,62,MKT,1372469,10206,174,,billie,balliew,511-15-6389,1975-12-09,200 MAIN AVE,FALMOUTH,MASSACHUSETTS,02540,US,billie@wallet.com,(508) 548-4717
,,193,CRM,1410025,10175,122,,dell,tarka,771-86-1622,1978-02-24,KINGSBURY SQUA,ZEPHYR COVE,NEVADA,89448,US,adele@tarka.com,588-1343
,,15,CRM,1353814,10114,26,,ross,taulman,168-32-5112,1978-11-06,1201 3RD AVE #-3400,SEATTLE,WASHINGTON,66101,US,roscoe@taulman.com,(206) 682-4857
,,54,MKT,1353360,10192,152,,linda,pelham,599-30-9096,1990-08-21,OLD HWY #-72,CHEROKEE,ALABAMA,35818,US,melinda@pelham.com,(256) 360-5870
,,48,CRM,1422294,10180,131,,buford,cacace,929-59-1885,1973-04-27,1030 US HIGHWAY 46,CLIFTON,NEW JERSEY,07013,US,buford@cacace.com,773-8628
,,34,CRM,1388630,10156,89,,carmine,anadio,519-24-3777,1994-02-28,93 MAIN ST,ORONO,MAINE,04473,US,carmine@anadio.com,(207) 866-5602
,,31,CRM,1386206,10153,84,,kelley,taulman,281-25-8641,1976-09-06,1111 SUPERIOR AVE E,CLEVELAND,OHIO,44114,US,kelley@taulman.com,(216) 771-0715
,,171,CRM,1377537,10142,66,,mason,shabazz,333-60-2356,1974-04-19,89 E NATIONWIDE AVE,COLUMBUS,OHIO,43215,US,mason@shabazz.com,(614) 221-4018
