z_minScore,z_maxScore,z_cluster,b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
0.0,0.9999999999985292,16,MKT,1445938,10585,1282,,karlen,oland,77,1963-08-27,00661 MAYER PARK,CIBADUYUT KIDUL,,,ID,kolandw@merriam-webster.com,
0.0,0.9998494388739949,70,MKT,1392031,10487,1124,,t,polacek,797-17-3481,1989-08-05,1100 ALAKEA ST #-12,HONOLULU,HAWAII,96813,US,terri@polacek.com,(808) 237-6644
0.0,0.999999861002602,29,CRM,1399801,10425,1040,,jill,clark,442-85-5714,1979-11-13,44 GALLOWAY RD,WARWICK,NEW YORK,10990,US,jill@guzzetta.com,986-1216
,,51,CRM,1355739,10371,1077,,weldon,odegard,311-61-2771,1985-08-07,6822 ACADEMY PKWY W,ALBUQUERQUE,NEW MEXICO,67106,US,weldon@odegard.com,(505) 345-1780
0.0,0.9999999999999604,16,MKT,1363548,10306,1027,,kenneth,robaina,642-58-4131,1972-04-03,1455 91ST AVE NE APT. 12,MINNEAPOLIS,MINNESOTA,55449,US,ken@robaina.com,
0.0,1.0,4,CRM,1445927,10556,1176,,christie,stennett,67,1965-01-14,85 JUDY CIRCLE,XINQIAO,,,CN,cstennettl@weebly.com,
,,199,MKT,1397394,10494,1215,,o,tukuafa,473-74-5564,1976-05-24,6805 CAPITOL HWY #-32,AUSTIN,TEXAS,78731,US,octavio@tukuafa.com,(512) 327-8399
0.0,0.9999999318151219,4,CRM,1409489,10433,1044,,carroll,spark,325-59-6053,1992-02-08,500 S RANDALL ST,RHOME,TEXAS,76078,US,carroll@spark.com,636-2216
,,127,CRM,1380441,10401,1142,,barnabas,summerset,275-62-9396,1987-05-24,5242 BOLSA AVE,HUNTINGTON BEACH,CALIFORNIA,92649,US,barney@summerset.com,(714) 897-5451
,,45,MKT,1353826,10453,1066,,teri,neundorfer,590-89-3615,1983-11-09,601 W MAIN #-815,SPOKANE,WASHINGTON,66201,US,teri@neundorfer.com,(509) 838-6142
0.0,0.9998867636237647,70,CRM,1370933,10387,1008,,tina,maschak,283-26-8698,1988-03-12,210 N SAINT CLAIR AVE,DAYTON,OHIO,45402,US,christina@maschak.com,(937) 222-7228
,,98,CRM,1351779,10365,991,,lyman,wengel,502-29-7214,1986-01-02,1225 17TH ST,DENVER,COLORADO,60202,US,lyman@wengel.com,(303) 292-4338
,,202,MKT,1398731,10497,1218,,marlene,hilgeman,698-71-3263,1982-09-20,300 S 4TH ST #-1700,LAS VEGAS,NEVADA,89101,US,marlene@hilgeman.com,383-2994
0.0,0.999999999996107,7,MKT,1445908,10534,1255,,rooney,buckbee,7,1965-08-11,7331 EAGLE CREST RD,QUWA,,,CN,rbuckbee2@macromedia.com,
0.0,0.9999996928168811,4,CRM,1428529,10442,1157,,chang,svec,930-64-5708,1989-12-14,3416 S 48TH ST #-6,PHOENIX,ARIZONA,85040,US,chang@svec.com,968-2792
0.9999999999763035,0.9999999999763035,41,CRM,1445950,10564,1061,,hy,ducker,50,1975-06-16,0742 DREWRY DR,HENGXI,,,CN,hducker18@google.com.au,
,,313,MKT,1413179,10309,1032,,jude,warstler,425-37-2578,1975-10-24,205 MADISON AVE,SCRANTON,PENNSYLVANIA,18503,US,jude@warstler.com,346-7206
,,106,CRM,1365204,10378,1129,,wesley,sahagun,951-21-4063,1978-11-15,2404 W MERCURY BLVD,HAMPTON,VIRGINIA,,US,wesley@sahagun.com,(757) 827-1035
0.9997707944931998,0.9997707944931998,120,CRM,1437729,10513,1107,,benny,gundry,78,1977-07-15,223 STEENSLAND HILL,RAWAAPU,,,ID,bgundrym@ameblo.jp,
,,56,CRM,1390832,10301,1082,,jake,schettler,,1983-05-09,10400 EATON PL #-401,FAIRFAX,VIRGINIA,22030,US,jake@schettler.com,(703) 591-4492
0.999999999996107,0.999999999996107,71,CRM,1392506,10307,1031,,latonia,williams,731-32-6965,1991-03-09,7600 OLDE EIGHT RD,HUDSON,OHIO,44236,US,latonia.williams@yahoo.com,(330) 656-1030
,,244,CRM,1445928,10557,1177,,odo,esom,99,1995-01-21,7147 RUTLEDGE AVE,IPOH,,,MY,oesomm@webs.com,
,,135,CRM,1390591,10413,1146,,lyle,hilgeman,981-39-4921,1991-03-26,115 N 20TH ST,TAMPA,FLORIDA,33605,US,lyle@hilgeman.com,(813) 248-1861
